pietro,izby,powierzchnia,zadrzewienie,autostrada,przemysł,centrum,jezioro,lasy,tramwaj,policja,szkola,cena,zainter
0,4,65.1,13.44,3153.811,63.63961,7366.526,1384.377,538.5629,472.705,2996.068,1324.84,4531.49,FALSE
3,2,32.7,21.56,8452.07227,134.3503,2818.24414,1601.85046,1471.20703,96.04687,1860.02686,289.87067,1972.32,TRUE
0,3,40.98,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,2037.58,TRUE
3,2,49.53,0.48,11763.63574,207.00241,5615.26953,5416.94092,236.48466,2214.45825,2338.56787,182.48288,5471.43,FALSE
4,3,81.4,21.72,4384.955,169.1892,2375.395,3475.809,2024.846,317.5689,1301.768,65,3482.8,TRUE
2,3,52.4,11.48,6120,46.09772,2993.59741,1480.54041,1296.91943,195.25624,1014.16223,235,4293.89,TRUE
2,3,35.9,0.68,6405.412,120.8305,502.0209,2208.308,2297.243,98.23441,365.3081,332.8663,5710.31,FALSE
2,3,46.79,0.04,11821.25781,168.07736,5669.87207,5477.19385,182.00275,2214.6106,2324.90869,192.35384,5343.02,FALSE
1,3,47.3,1.72,4011.795,105,3996.079,2067.873,1562.122,609.2618,1053.114,450.6939,6342.49,FALSE
8,3,46.8,15.16,9312.382,783.3422,3160.396,3036.647,1409.69,284.6928,1882.956,386.0052,2649.57,TRUE
1,2,44.8,4.92,3406.11938,86.31339,3572.68115,2460.18799,857.35059,186.01076,1544.03687,245.45876,4241.08,TRUE
0,3,40.98,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,2037.58,TRUE
7,3,37.6,23.24,8565.28125,22.36068,3032.65552,1502.10681,1375,319.45267,2007.6416,172.04651,5438.83,FALSE
4,4,47.9,31.24,3490,35,4048.336,1900.217,983.4887,385.7784,1446.453,517.2282,4488.52,FALSE
1,4,120.7,17.32,3790.162,25,3573.084,2375.526,1205.093,302.3243,1105.181,55,5799.5,FALSE
2,5,125,13.84,6254.81592,136.565,2117.5752,1585.47314,1131.86792,265.7066,401.6217,228.96506,6360,FALSE
0,3,44.06,5,1756.659,322.8003,4481.677,2648.556,125.2996,714.1779,2126.646,329.7347,4664.09,FALSE
1,3,54.74,6.8,7915.722,406.9705,2230.387,1643.046,1326.848,443.4242,1304.655,70.71068,4384.36,TRUE
1,2,35.7,7.28,12324.64,474.6051,6298.317,4762.877,216.9101,140,612.8825,403.1129,7002.8,FALSE
2,3,43.6,18.28,3511.57,143.0035,2873.125,2600.663,532.5646,159.7655,1261.428,813.895,5160.55,FALSE
3,3,47.7,26.56,5280.637,154.3535,2876.217,495.8074,406.9705,226.2742,480.7546,708.696,6184.49,FALSE
4,3,63.39,8.12,4262.866,73.82411,1999.812,2878.55,1917.948,107.0047,460.6788,121.6552,3786.09,TRUE
1,2,27.34,29.6,3882.119,125.1,4160.589,1890.569,1494.005,772.1722,1228.739,273.3587,5449.89,FALSE
1,1,42.2,11.32,6729.779,102.5914,1784.405,1556.478,1035.302,250.4496,309.5561,268.7936,5476.3,TRUE
2,1,32.2,1.16,5700.548,102.9563,503.4382,1870.167,2964.646,265.0472,772.1722,290.1724,6987.58,TRUE
3,3,47.6,5.32,11233.24,268.0019,5059.852,4952.353,355,1850,2820.151,407.4616,5651.26,FALSE
4,3,55.4,12.4,6716.1167,96.17692,2563.55713,1000.16248,600.33325,18.02776,984.12396,550.6814,3971.12,TRUE
3,3,65.2,1.08,10505.1,105.119,4390.23,4161.926,649.8654,1478.005,2404.163,811.4493,7500,FALSE
6,3,40.3,16,5927.618,150.333,757.2483,1080.289,2488.785,65,947.6286,221.4159,7196.03,FALSE
1,3,35.2,25.08,4455.213,348.2815,2924.145,1391.627,1151.141,663.8712,961.8732,68.00735,6534.09,FALSE
13,2,32,9.28,9891.9,293.4706,3735.084,3392.23,1249.73,570,2311.39,145,6093.75,FALSE
0,3,45.5,11,4564,440.1136,4675.502,1261.715,623.077,367.049,2280.932,288.4441,5450.55,FALSE
2,2,36.74,18.36,1237.942,22.36068,5018.895,2251.005,217.3131,942.4039,2316.749,181.7278,4436.58,FALSE
3,3,48.6,7.92,8695.013,126.5899,2807.103,2302.396,892.4405,454.0099,707.9901,487.468,6995.88,FALSE
3,3,59.1,14.36,4792.24658,100,1421.90894,2330.77246,2185.24609,11.18034,903.39636,703.58014,2459.68,TRUE
4,4,46.2,19.16,7694.154,65.76473,1856.071,1932.058,1544.943,140.8013,1123.488,340.5877,4805.19,FALSE
3,2,61.84,10.84,6424.494,116.297,1840.632,1643.73,1138.607,20.61553,427.5512,35.35534,3880.98,TRUE
1,3,37.47,13.96,6203.896,230.0543,3950.535,1699.448,1178.855,1022.509,1170.908,240.2603,5337.6,FALSE
1,2,38.31,0,5550.165,130,683.1179,1644.118,2714.171,182.0027,963.8076,161.2451,6444.58,FALSE
2,2,26.09,17.32,6245.674,366.6743,3820.995,1592.082,1319.744,891.0668,1156.168,290.3877,5921.81,FALSE
2,4,59.62,7.68,2637.067,54.08327,3682.679,2970.875,859.8401,109.6586,1404.039,604.0281,4696.41,FALSE
2,2,43.91,0.84,6359.324,82.76472,2088.57,1522.079,1051.725,200.8108,486.621,146.3728,3552.72,TRUE
2,4,90.33,5.8,6498.692,108.1665,2173.81,1372.17,898.3596,85,638.3768,190.3943,3542.57,TRUE
1,4,62.8,0.6,11274.77246,160.70158,5594.2334,3521.00122,941.51471,915.76471,1136.10083,141.15594,7085.99,FALSE
2,2,41.4,0.28,6375.033,43.01163,2301.098,1393.718,965.9451,246.9818,591.0372,355.1408,5603.86,FALSE
4,5,73.9,0.48,6813.833,130.3841,5757.309,675.2962,251.0976,793.8829,2863.237,337.3426,3991.88,FALSE
0,3,52.2,15.16,6830,176.7767,3336.802,807.0006,678.3251,42.42641,1588.372,455.0275,4214.56,TRUE
3,1,51.3,9.16,6285.06348,288.48743,1363.41479,2089.5752,1571.36877,101.24229,149.83324,498.12146,3313.84,TRUE
2,1,37.2,8.96,10869.26,435.0288,4709.652,4575.251,421.5744,1719.608,2784.044,772.1722,5645.16,TRUE
4,3,66.38,0,4440.048,288.4874,2408.402,3379.8,2032.953,195.5761,1180.72,70,3299.19,TRUE
4,3,61.5,7.48,4202.67188,96.04687,2892.30884,3056.18237,1672.85681,67.26812,931.58466,337.08307,1407.12,TRUE
2,3,53.49,10.84,4050.802,70.71068,2924.355,3034.246,1552.047,85.14693,1107,160.0781,2333.15,TRUE
1,2,60.8,1.92,12062.71,706.1339,5973.349,4779.051,155,470.2393,981.644,715.2797,5509.87,FALSE
0,2,55.3,1.04,5335.583,222.7667,2793,462.3851,476.7075,226.2742,398.5285,791.1542,8589.51,FALSE
1,2,37.2,0.48,4044.90112,120.10412,5637.41504,1125.71094,901.47101,109.65856,2299.35327,657.30511,5645.16,FALSE
2,3,38,19.96,8392.401,92.19544,2879.592,1419.903,1316.757,175,1832.901,329.0137,4842.11,FALSE
3,5,94.83,0.8,12845.08,81.3941,6661.181,4728.345,33.54102,1255.518,1685.764,1485.345,6954.02,FALSE
5,4,62.7,3.76,11688.48,817.0833,5750.941,4184.047,688.8396,145,745,209.8809,4704.94,TRUE
3,3,56.68,9.68,4991.242,431.8854,2453.263,2702.601,2342.136,464.0043,645,91.92388,4040.23,TRUE
2,4,71.42,22.52,5230.26758,348.60437,2326.20947,2486.00073,2110.69897,301.86917,552.31329,322.37399,4340.52,FALSE
5,3,48.1,1.08,11309.66,289.3527,5526.294,3665.849,1095.502,637.8872,1041.393,227.2664,6860.71,FALSE
0,1,28.61,0.04,4198.8,100.4988,11353.16,3087.479,85.14693,6933.866,7446.409,1019.031,4496.5,TRUE
4,3,56.21,20.56,2149.517,91.24144,4114.517,2771.507,403.1129,481.2744,1773.711,311.8493,3380.18,TRUE
3,5,73.1,14.48,10836.8,429.2144,4734.66,3846.979,562.0721,340,1878.829,450,4172.37,FALSE
2,2,52.4,0.52,8709.227,144.222,2847.077,2305.439,832.301,513.0789,753.077,543.7371,7041.98,FALSE
4,1,32.2,0.28,6375.033,43.01163,2301.098,1393.718,965.9451,246.9818,591.0372,355.1408,6521.74,TRUE
1,2,35.4,19.96,4371.54736,170.88008,2802.12866,3153.4624,1833.28259,93.94147,802.76086,470,6214.69,FALSE
5,3,48.8,1.64,3063.634,43.01163,3978.897,2722.738,207.9663,134.3503,2356.884,186.8154,4713.11,FALSE
2,5,75.9,3.72,5122.688,201.5564,4119.836,663.4945,220.2272,669.7947,1734.827,336.8234,4150.2,FALSE
6,1,25.2,1.6,5709.588,93.94147,495.202,1875.06,2967.09,255.196,762.9712,285,7460.32,TRUE
3,3,37.6,17.16,4015.084,105.9481,2500.705,2059.429,951.3149,169.1892,1421.979,403.2679,5771.28,FALSE
1,4,73.6,0,5241.138,279.732,2718.842,581.2272,590.7622,82.0061,329.7347,680.6247,6657.61,FALSE
1,3,40.5,6.88,6293.92188,41.23106,2583.61182,1353.66174,1026.02393,180.27756,745.06714,215.05814,7442.67,FALSE
8,4,62.7,3.48,12336.47,386.2642,6569.205,4489.928,142.1267,728.3543,295,93.94147,4146.73,TRUE
7,1,28.3,13.64,4365.25195,190.39433,5130.80176,1585.82788,789.00256,39.05125,1751.01404,113.13708,5689.05,TRUE
3,4,62.55,14,8052.385,120.4159,2143.105,2013.064,1698.19,125,1478.893,255,4636.29,FALSE
2,1,32.7,1.6,5709.588,93.94147,495.202,1875.06,2967.09,255.196,762.9712,285,8000,TRUE
1,3,46.9,15.12,3967.17773,364.72592,11002.00098,3466.90796,130,6555.07812,7023.1084,597.85034,2985.07,TRUE
1,2,38.9,0.48,12098.12,744.1102,6040.149,4738.254,109.6586,314.0064,820.64,609.0156,7069.41,FALSE
4,3,38.1,17.6,5091.702,269.0725,2646.474,2543.959,2224.41,225,413.5517,197.8004,7874.02,FALSE
0,4,46.66,8.16,4200.268,29.15476,2450.25,3565.589,1911.603,503.0159,1226.54,281.5138,4543.51,FALSE
3,3,74.9,3.44,4662.09473,69.46222,2177.34937,3225.87207,2277.90479,187.21645,1144.43213,130.38405,3204.27,TRUE
4,3,68.7,11.16,5002.60205,414.36697,2435.67749,2695.94604,2332.83618,457.62976,660,109.65856,2911.21,TRUE
3,3,37.47,25.8,5582.437,205,4160.12,2365.761,775,735.612,876.6413,83.81527,4697.09,FALSE
2,1,19.2,1.4,6455.958,106.066,1302.085,2063.032,1541.858,78.26238,15,451.7743,8072.92,TRUE
2,3,44.1,5.16,1944.074,31.62278,4377.308,2409.424,589.6185,236.0085,2067.565,80,4195.01,FALSE
4,3,43.1,15.64,6116.2998,111.01801,4107.61475,1862.80701,986.01471,1212.12622,1180.67773,253.87004,1647.33,TRUE
1,3,37.5,37.6,4306.9624,270.6012,3221.50977,2776.80127,1721.22778,129.71121,601.10315,281.51376,5466.67,FALSE
4,4,66.3,6.68,11964.71,624.3397,6170.656,4221.67,530.1179,615,418.2404,110,3544.49,TRUE
1,4,60.8,8.6,4765.22,25.4951,2026.253,3190.251,2414.788,240.0521,1092.623,253.87,4440.79,FALSE
2,4,60.75,5.96,5502.62,405.6168,2291.997,423.4678,966.0875,163.4778,57.00877,833.1417,6263.37,FALSE
3,3,44.1,8.6,4765.22,25.4951,2026.253,3190.251,2414.788,240.0521,1092.623,253.87,3356.01,TRUE
3,3,49.55,1.64,4720.76514,25,2099.44043,3199.32031,2351.30811,206.70027,1108.38843,193.13208,4641.78,FALSE
2,3,54.11,0,6111.66504,85.44004,567.64868,1216.93262,2668.52026,241.86774,725.43091,396.54761,4065.79,TRUE
5,2,42.87,0,5604.518,88.45903,611.3101,1701.624,2793.944,224.6108,892.3704,251.0976,5657.1,FALSE
0,4,55.7,16.8,1270.059,120.9339,5011.439,2131.771,336.0059,846.4633,2264.972,169.1892,4308.8,FALSE
2,2,34.3,1.84,4904.042,371.6517,2371.919,2829.178,2387.572,300,780.2083,198.1161,4000,TRUE
1,3,38,19.28,4320.446,226.3846,2539.39,3417.602,1897.894,195.2562,1167.647,180.2776,5526.32,FALSE
3,3,52.4,2.64,11140.36,126.4911,5410.16,3464.578,1143.077,799.2027,1224.602,40,4389.31,FALSE
4,4,52.68,16,7894.449,293.6409,2120.312,1785.847,1451.215,330.4921,1290.591,76.32169,4460.9,FALSE
1,3,41.25,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,3818.18,TRUE
2,2,32.7,18.28,3511.57,143.0035,2873.125,2600.663,532.5646,159.7655,1261.428,813.895,4281.35,TRUE
1,3,51.1,0.16,8755.08,69.64194,2858.549,2362.118,881.7171,479.2703,756.7199,521.5362,5225.05,FALSE
2,2,61.69,11.56,3181.14771,192.09373,3044.0105,3566.09033,1167.26172,265.75363,690.79663,368.40875,3890.42,TRUE
4,4,105.51,7.16,6643.766,47.16991,1592.482,1749.636,1228.515,206.1553,116.297,264.1969,3601.55,TRUE
2,3,51.33,0.24,5477.785,331.4363,969.4586,1261.002,2489.95,156.5248,1225.367,162.7882,7071.89,FALSE
4,3,37.6,22.36,4209.472,221.4159,2356.295,1860.41,1141.863,151.8223,1499.041,205,5585.11,FALSE
3,1,24,13.88,6558.33057,136.01471,2421.86401,1189.84241,768.19592,96.56604,793.88287,421.07007,5600,TRUE
11,4,79.1,6.72,2960.95,154.0292,4231.729,2790.564,145.7738,354.4009,2495.846,445.7017,3919.09,FALSE
2,2,32.1,19.28,10174.22,154.0292,4255.919,2979.345,1421.979,325,2235.364,788.2417,7788.16,FALSE
3,3,37.1,14.08,6200.59863,70.17834,4108.67969,1785.3291,1039.00195,1154.20972,1245.09033,304.13812,4851.75,FALSE
2,2,28.5,1.4,12149.09,763.9699,6076.455,4811.616,60,374.7666,867.3091,653.9113,6245.61,FALSE
1,3,46.6,10.52,6770,180.3469,3137.555,831.8203,679.2827,109.6586,1405.214,646.9351,4313.3,TRUE
1,5,120.96,5.32,4607.02979,160.07811,2579.32642,3093.73975,2085.52759,145.34442,778.20306,272.80945,5373.68,FALSE
4,2,29.21,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,6675.8,FALSE
3,3,60.1,2.56,3924.207,77.78175,2374.974,3232.785,1827.902,130.3841,448.6925,232.4328,2579.03,TRUE
1,2,34.4,6.88,3495,116.7262,3924.041,2027.856,939.8537,293.4706,1413.515,396.0113,5523.26,FALSE
3,3,51.1,22.04,5151.07031,156.92355,3749.04321,2564.61011,1301.39343,199.24858,320.62439,544.54108,5068.49,FALSE
6,2,34.4,0,5397.224,489.3363,2509.442,476.7075,759.6052,119.2686,114.1271,807.4187,8720.93,FALSE
4,4,65.2,10.44,5405.451,250.7987,928.4934,1441.605,2480.247,18.02776,1200.094,65,5291.41,FALSE
2,1,37.03,0.52,4756.903,371.6517,3015.336,1023.181,725.4309,251.0478,761.3967,304.1381,5941.13,TRUE
2,1,31.9,6.76,11390.52637,159.13831,5783.95215,3514.34204,736.8175,1106.13062,1125,150,7523.51,TRUE
1,2,43.52,3.32,10206.42,620.8462,5665.062,1793.774,619.8387,2482.952,2970.711,1046.757,5261.95,FALSE
2,4,62.9,4.68,3821.99219,384.22,10759.41406,3699.625,237.69728,6288.18945,6697.1582,272.94687,4689.98,FALSE
3,2,54.54,0,4272.2417,95.52486,5992.59961,1333.3136,547.76819,134.16408,2596.13647,957.40533,7169.05,FALSE
3,5,100.42,0,6576.519,85,2270.595,1260.516,794.0403,35.35534,739.0027,262.3452,3186.62,TRUE
0,3,50.92,6.6,6568.12,157.0032,1171.836,2151.238,1632.376,22.36068,200.5617,426.1748,6323.64,FALSE
9,3,45.5,7.52,5125.966,161.2451,3361.525,614.5934,170.0735,286.2254,965.984,462.2229,3186.81,TRUE
0,3,55.69,16.36,4008.054,115.434,2937.197,3027.809,1519.087,128.0625,1155.043,113.1371,4489.14,FALSE
3,5,56.1,16.8,3455,71.5891,4080.885,1868.027,957.5489,366.2308,1483.821,514.2957,4634.58,FALSE
8,5,84.9,18.52,3338.956,213.7756,3793.208,2444.473,483.3218,80.62257,2087.163,111.8034,3298,TRUE
8,4,57,8.56,4315.194,223.2151,2518.536,3441.82,1906.443,229.0197,1202.341,159.1383,4736.84,FALSE
0,5,61.2,40.84,4102.591,143.2655,2639.721,1891.362,1070.187,196.0867,1446.383,125,3267.97,TRUE
1,2,24.18,0,6493.84717,68.00735,1900.65784,1560.2323,1053.94495,18.02776,460.02716,68.00735,3500,TRUE
4,4,47.6,19.52,8459.972,317.5689,2423.206,2335.68,2082.168,120,1797.776,393.2239,5882.35,FALSE
4,1,33.5,2.8,3482.09717,75,3462.80591,2566.40796,953.95233,145.7738,1498.04041,355.14081,5373.13,TRUE
0,2,62.8,8.12,4657.899,535.0934,4629.303,1167.262,536.6563,431.3351,2233.478,246.6779,3582.8,TRUE
1,3,63.9,0,6487.03516,90.55385,1873.79956,1583.82446,1076.16211,18.02776,435.25854,71.06335,1845.07,TRUE
1,1,28.9,6.52,6573.49609,50.9902,1382.54297,1956.08032,1435.3136,181.2457,29.15476,325.03845,6453.29,TRUE
1,5,109.9,7.56,4657.899,71.5891,2176.235,3232.244,2276.071,194.1649,1150.272,125.8968,3275.71,TRUE
2,3,44.3,8.36,1923.519,25,4397.692,2394.535,581.0551,244.5915,2087.223,100,4108.35,FALSE
3,2,48.7,0.72,4072.36108,138.29317,5642.56152,1150.27173,872.35315,80.62257,2297.85229,668.30011,6386.04,FALSE
0,3,74.54,4.44,5521.062,240.8319,2049.597,2294.613,1872.926,136.565,226.3846,652.3228,6020.93,FALSE
2,1,31.8,0.64,10914,473.8143,4745.872,4635.968,447.7723,1744.427,2836.428,725,5628.93,TRUE
3,1,31.7,7.72,12317.42,522.4222,6279.739,4786.588,165.5294,190.0658,664.906,454.6702,5993.69,TRUE
4,2,38.29,1.04,10485.46,183.9837,4405.011,4110.879,662.2877,1542.806,2386.891,876.8124,5745.63,FALSE
2,3,52.36,1.48,4122.054,114.0175,3038.955,2909.682,1568.2,131.244,915.9967,374.7666,4889.23,FALSE
3,3,44.6,12.92,3319.05493,85,3652.96118,2399.27075,767.21899,215.92822,1620.90247,182.00275,5400,FALSE
3,2,26,3.2,5640.182,40.31129,585.4913,1659.345,2812.406,178.4657,866.3862,240.5203,1846.15,TRUE
4,1,24.48,0,5641.707,25,639.0618,1521.455,2760.548,49.24429,913.4687,155.2417,5718.95,TRUE
1,4,99,19.28,6138.577,447.3533,1424.588,2131.906,1621.003,70,306.635,488.083,6000,FALSE
0,4,47.2,27.96,4183.972,40,2938.197,1710.592,1239.728,713.1795,1234.544,348.6044,4872.88,FALSE
4,4,89.76,3.88,6654.416,53.85165,1592.27,1747.069,1226.02,217.3131,116.619,253.0316,4010.7,TRUE
4,4,52.8,16.96,9865.153,333.2041,3720.336,3321.991,1293.145,495,2336.819,70,5303.03,FALSE
3,3,32.7,18.84,1821.572,100.1249,4497.744,2325.726,543.5302,306.4719,2183.231,200,4434.25,FALSE
1,2,26.2,2.96,4727.309,31.62278,2088.403,3198.175,2360.704,212.1909,1106.029,201.5564,4961.83,FALSE
1,5,99.08,24.12,5220,30.41381,3474.8562,2427.9209,1538.64392,174.64249,81.3941,647.24414,6055.71,FALSE
3,5,101.27,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,3159.87,TRUE
0,2,33.8,11.96,7263.148,65,2168.807,826.5137,1704.655,185.809,1282.673,350.0357,3254.44,TRUE
1,3,90.9,27.44,7713.697,264.0076,2033.249,1678.288,1306.312,328.8237,1104.219,120.4159,3850.39,TRUE
4,2,36.9,17.56,4265.99658,188.2153,2500.5,3474.62231,1894.46558,325,1297.99841,174.64249,5176.15,FALSE
1,3,37.5,3.36,5564.209,90.13878,3765.425,2198.05,1170.043,607.3096,555.0901,174.1407,6000,FALSE
2,3,50.94,9.92,5671.766,49.49747,646.2391,1454.957,2767.399,15,914.1663,171.1724,3690.62,TRUE
2,4,53,17.44,9954.839,446.878,3757.047,3748.163,986.9271,729.9658,2126.088,228.9651,5377.36,FALSE
0,3,55.7,10.32,11833.92188,168.07736,5642.98242,5407.26367,314.68237,1819.51233,2442.89282,266.31747,4802.51,FALSE
0,3,40.98,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,2037.58,TRUE
2,3,47.65,10.04,8829.928,212.8967,3011.885,2406.875,685.073,677.0894,923.1061,713.3372,5435.47,FALSE
2,3,33.08,3.68,10070,372.1559,5405.999,1713.25,820,2211.99,3118.734,883.544,6499.4,FALSE
1,3,49,0,3913.518,143.2655,2719.347,3353.181,1635.122,245.4588,1239.456,352.2783,6530.61,FALSE
3,3,58.8,1.48,12171.41,661.3811,6122.118,4783.579,82.46211,263.8655,755.0165,541.6872,6037.41,FALSE
1,3,44.6,8.36,1923.519,25,4397.692,2394.535,581.0551,244.5915,2087.223,100,4260.09,FALSE
2,1,38.3,0,11778.57,158.1139,7011.364,2839.798,252.6856,3030.697,1400.893,1520.008,5522.19,TRUE
0,2,26.4,3.88,6654.416,53.85165,1592.27,1747.069,1226.02,217.3131,116.619,253.0316,4734.85,TRUE
9,4,62.7,1.6,12224.04,395.3796,6468.466,4380.074,223.8861,750,340.0368,122.9837,4354.07,TRUE
2,1,36.4,8.6,3789.419,275.1363,3512.239,1989.196,936.9232,403.0509,1650.273,449.0267,5934.07,TRUE
1,2,44.33,0,11354.5957,239.42639,5165.12354,5055.41797,160,1683.59729,2596.58423,364.58881,6361.38,FALSE
3,4,102.8,1.88,6222.18,327.5668,1538.002,1990.986,1481.098,65.19202,287.4457,348.1738,3404.67,TRUE
4,3,44.2,5.16,1944.074,31.62278,4377.308,2409.424,589.6185,236.0085,2067.565,80,4321.27,FALSE
1,4,78.6,6.52,5222.138,25.4951,1051.309,2313.207,2655.245,60,1286.934,352.2783,4949.11,FALSE
5,3,46.8,17.04,9468.56,519.3506,3374.27,2906.514,1660.369,230,2205.023,351.0698,4700.85,FALSE
4,3,81.4,7.48,4202.67188,96.04687,2892.30884,3056.18237,1672.85681,67.26812,931.58466,337.08307,1317.96,TRUE
2,4,61.8,6.88,3894.66626,42.72002,2384.0354,3198.0188,1753.85291,54.08327,375.93219,260.19223,4530.74,FALSE
2,4,63.6,28.32,12164.83,365.2739,6425.154,4309.768,263.8655,795,401.1546,174.9286,5031.45,FALSE
3,4,85.87,0,5580.882,120.2082,630.1785,1728.381,2781.6,254.6075,910.8787,261.7728,5356.93,FALSE
11,5,63.5,22.64,3775.82446,116.29704,5300.41748,1049.40454,1032.00049,522.01532,2078.94214,322.21887,3779.53,TRUE
1,1,34.46,4.8,4821.001,354.1892,2922.075,977.8165,731.454,232.0022,670.4103,300.5412,7196.75,TRUE
1,3,80.99,11.28,4818.724,76.15773,1409.761,2390.084,2248.755,72.11102,933.0193,680.1654,2531.18,TRUE
4,1,41.1,0.28,6380.416,36.05551,2297.324,1391.294,961.7692,240.5203,592.9797,350.3213,4866.18,TRUE
0,4,69.34,0.28,3438.212,90.13878,6318.089,574.3257,472.0169,527.731,3075,1330.056,5047.59,FALSE
0,2,38.6,12.96,6933.19,115.1086,1815.448,1499.141,984.8858,458.939,402.6475,207.1835,1813.47,TRUE
4,3,51.98,0,6775.819,101.2423,924.6892,1082.405,2594.499,186.6815,830.2409,219.1461,6925.74,FALSE
1,3,44.9,0.64,3480.104,127.4755,5789.201,577.6028,548.1788,641.4047,2598.677,841.7244,6080.18,FALSE
1,3,80.55,100,7220.5,133.4166,7615.911,261.7728,96.04687,2599.356,1059.021,1500.833,4078.21,TRUE
1,3,51,0.6,11663.45801,215.05814,5475.37207,5305.22852,317.52954,1799.34705,2525.53467,190,5294.12,FALSE
1,4,53,19.16,3408.37207,230.48862,5144.4751,957.82306,1022.41138,973.66577,2118.40747,564.35803,5358.49,FALSE
7,1,28.2,13.64,4365.25195,190.39433,5130.80176,1585.82788,789.00256,39.05125,1751.01404,113.13708,5000,TRUE
3,3,60.9,6.84,6339.647,315.0397,426.6439,1350.343,2880.226,245.204,489.949,243.0021,5687.19,FALSE
1,3,59.41,2.36,6378.229,118.5327,6070.966,161.0124,50,1294.537,2560.488,534.6027,4107.05,TRUE
